instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0096,﻿church,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿St. Thomas,,,,44.240245,-93.816897,﻿stp.mn.0151,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1869,62.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0097,﻿station,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Kilkenny,,,,44.313297,-93.574116,﻿stp.mn.0130,"﻿Visited by Rev. A. Seel, of Shieldsville, Rice Co.",,,,,,,,,,,,1869,63.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0098,﻿station,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Lexington,,,,44.313297,-93.574116,﻿stp.mn.0153,﻿Visited by Rev. H. Povoling,,,,,,,,,,,,1869,64.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0099,﻿station,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Montgomery,,,,44.438315,-93.58132,﻿stp.mn.0130,﻿Visited by Rev. A. Seel,,,,,,,,,,,,1869,65.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0100,﻿station,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Waterville,,,,44.438315,-93.58132,﻿stp.mn.0129,"﻿Visited by Rev. Geo. Keller, of Faribault",,,,,,,,,,,,1869,66.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0019,﻿church,﻿Church of St. Joseph,English,,,,﻿Carver County,﻿Carver County,﻿Waconia,,,,44.849456,-93.785881,,﻿,,,﻿Rev.,﻿F. Stern,,,,,,,,1869,67.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0020,﻿church,﻿Church of Guardian Angels,English,,,,﻿Carver County,﻿Carver County,﻿Chaska,,,,44.849456,-93.785881,,﻿,,,﻿Rev.,﻿M. Mayer,,,,,,,,1869,68.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0022,﻿church,﻿Church of St. Bernard,English,,,,﻿Carver County,﻿Carver County,﻿Benton,,,,44.767274,-93.845173,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,69.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0021,﻿church,﻿Church of Immaculate Conception,English,,,,﻿Carver County,﻿Carver County,﻿Watertown,,,,44.767274,-93.845173,,﻿,,,﻿Rev.,﻿C. Robert,,,,,,,,1869,70.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0023,﻿church,﻿Church of St. Hubert,English,,,,﻿Carver County,﻿Carver County,﻿Chanhassan,,,,44.767274,-93.845173,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,71.0,﻿,﻿,﻿StPaul,StPaul
