instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0119,﻿orphanage,﻿Orphanage at Meadville,English,,,,,,﻿Meadville,,﻿PA,,,,,,,,,,,,,﻿religious,"﻿sisters, 5",﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0119,﻿orphanage,﻿Orphanage at Meadville,English,,,,,,﻿Meadville,,﻿PA,,,,,,,,,,,,,﻿religious,"﻿postulants, 2",﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0118,﻿orphanage,﻿Orphanage at Erie,English,,,,,,﻿Erie,,﻿PA,,,,,,,,﻿Sister,﻿-----,,﻿Sister-Servant,,,,﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_02&0001_03,﻿school,﻿Academy and School of St. Joseph,English,,﻿Fourth and Fifth streets,,,,,﻿Erie,﻿PA,,,,,,,,,,,,,﻿student,"﻿pupils, 55",﻿Sisters of St. Benedict,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_02&0001_03,﻿school,﻿Academy and School of St. Joseph,English,,﻿Fourth and Fifth streets,,,,,﻿Erie,﻿PA,,,,,,,,,,,,,﻿student,"﻿pupils, 55",﻿Pastor of St. Mary's (German) Church,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_03.01,﻿school,﻿Parochial School,English,"﻿for boys, in the basement of the Cathedral",,,,,,﻿Erie,﻿PA,,,,,,,,,,,,,﻿student,"﻿pupils, 80",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_03.02,﻿school,﻿Parochial School,English,﻿for boys,﻿at St. Patrick's Church,,,,,﻿Erie,﻿PA,,,,,,,,,,,,,﻿student,"﻿pupils, 75 or 80",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0139,﻿school,﻿German School,English,﻿for boys,﻿at St. Mary's Church,,,,,,,,,,,,,,,,,,,﻿student,"﻿pupils, 75",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0140,﻿infirmary,﻿Infirmary of St. Francis de Sales,English,,﻿Brook Avenue,,,,﻿Richmond,,﻿PA,,,,,,,,﻿Sister,﻿Theresa Roche,,﻿Sister-Servant,,﻿religious,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0141,﻿hospital,﻿St. Vincent's Hospital,English,,,,,,﻿Norfolk,,﻿PA,,,,,,,,﻿Sister,﻿Isadore,,﻿Sister-Servant,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
