instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0010,﻿church,﻿Church of the Purification,English,,,,﻿Warren County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.54252264,-82.77668703,,﻿attended by M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1836,,﻿https://www.hrcga.org/church/locust-grove-catholic/,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9001,﻿station,not recorded,English,,,,,,﻿Louisville,,﻿GA,,33.54252264,-82.77668703,,﻿attended by M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0012,﻿station,not recorded,English,,,,,,﻿Sparta,,﻿GA,,33.54252264,-82.77668703,,﻿attended by M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0016,﻿station,not recorded,English,﻿&c.,,,,,﻿Milledgeville,,﻿GA,,33.54252264,-82.77668703,,﻿attended by M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.0733565,-81.0909827,,,,﻿j_f_oneil_901,﻿Rev.,﻿J. F. O'Neil,,,,,,,,1836,,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,﻿and the South Eastern Counties,,,,,,,﻿GA,,32.0733565,-81.0909827,,,,﻿j_fielding_901,﻿Rev.,﻿John Fielding,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9000,﻿seminary,﻿Seminary of St. John the Baptist,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,﻿r_s_baker_901,﻿Rev.,﻿Richard S. Baker,,,,,,,,1836,,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,"﻿Classics, Mathematics, Arithmetic, English, &c.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0038,﻿convent,not recorded,English,﻿recently commenced,,,,,,,,,32.78424666,-79.93682791,,,,,,,,,,,,﻿conducted by the Sisters of Our Lady of Mercy,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9002,﻿academy,﻿Young Ladies' French and English Academy,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,﻿Madame Hery du Jarday,,﻿Lady Superiour,,,,﻿conducted by Les Dames de la Retraite,,1836,,,"﻿French and English Languages, Sacred and Profane History, Ancient and Modern Geography, Mythology, and all the various kinds of Fancy and Ornamental Needie Work.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9007,﻿novitiate,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,,,,,﻿sister,﻿5 sisters,﻿under the Sisters of Mercy,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77973012,-79.93818113,,,,,,,,,,,,﻿under the Sisters of Mercy,,1836,,﻿https://olmsisters.wpengine.com/our-history/,"﻿Spelling, Reading, Writing, Arithmetic, English Grammar, Geography, with the use of the Maps and Globes, His-tory, Plain Sewing, Marking, and Needle Work, French.",﻿,﻿,﻿Charleston,Charleston
