instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.0733565,-81.0909827,,,,﻿jer_f_oneill_001,﻿Rev.,﻿Jeremiah O'Neill,,,,,,,,1837,,,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,﻿and the South Eastern Counties,,,,,,,﻿GA,,32.0733565,-81.0909827,,,,﻿jer_f_oneill_001,﻿Rev.,﻿Jeremiah O'Neill,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,﻿and the South Eastern Counties,,,,,,,﻿GA,,32.0733565,-81.0909827,,,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0070,﻿seminary,﻿Seminary of St. John the Baptist,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,﻿ric_s_baker_001,﻿Rev.,﻿Richard S. Baker,,,,,,,,1837,,,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,"﻿Classics, Mathematics, Arithmetic, English, &c.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,,,,,﻿professed Choir nun,﻿1 professed Choir nun,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78424666,-79.93682791,,,,,,,,,,﻿novice,﻿1 novice,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78424666,-79.93682791,,,,,,,,,,﻿boarder,﻿4 boarders,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78424666,-79.93682791,,,,,,,,,,﻿day-scholars,﻿8 day scholars,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0038,﻿convent,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,,,,,﻿sisters,﻿12 sisters,﻿conducted by the Sisters of Our Lady of Mercy,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77973012,-79.93818113,,,,,,,,,,,,﻿under the direction of the Sisters of Mercy,,1837,,,﻿https://olmsisters.wpengine.com/our-history/,"﻿Spelling, Reading, Writing, Arithmetic, English Grammar, Geography, with the use of the Maps and Globes, His-tory, Plain Sewing, Marking, and Needle Work, French.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9002,﻿academy,﻿Young Ladies' French and English Academy,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77973012,-79.93818113,,,,,,﻿Madame Hery du Jarday,,﻿Lady Superiour,,,,﻿conducted by Les Dames de la Retraite,,1837,,,,"﻿French and English Languages, Sacred and Profane History, Ancient and Modern Geography, Mythology, and all the various kinds of Fancy and Ornamental Needie Work.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9010,﻿school,not recorded,English,﻿of boys,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77973012,-79.93818113,,,,,,,,,,﻿orphans,﻿30 orphans,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
