instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0106,﻿seminary,﻿St. Thomas' Diocesan Seminary,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.766944,-85.483333,,,,﻿jos_m_lancaster_901,﻿Rev.,﻿Joseph M. Lancaster,,﻿President,,,,,,1836,﻿https://en.wikipedia.org/wiki/St._Thomas_Church_and_Howard%E2%80%93Flaget_House,,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French",﻿by the Right Rev. Bishop of Bardstown in 1811,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.85131853,-85.4734955,,,,﻿joh_b_david_901,﻿Right Rev.,﻿David,,﻿Bishop,,,,﻿Conducted by the Sisters of Charity,,1836,﻿https://nazareth.org/about/ ; https://www.kyhistory.com/digital/collection/PH/id/695/,,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, (with the use of the Globes,) History, Rhetoric, Botany, Natural Philosophy, including the principles of Astronomy; Opticks, Chemistry, &c.; Plain Sewing, Marking, Needlework, Drawing, Painting, Music, and the French Language. This last branch, to wit, (the French Language,) is taught with the greatest correctness, both as to grammar and pronunciation, there being actually in the institution several French sisters, besides others who understand and speak the language very correctly. A course of lectures on Rhetoric and Philosophy, (Natural and Moral,) shall be annually given by the Professor of St. Joseph's College. Lessons and Exercises in polite English Literature, will also be occasionally given.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,﻿KY,37.65963579,-85.39593267,,,,﻿ben_j_flaget_901,﻿Rt. Rev. Dr.,﻿Flaget,,﻿Moderator,﻿Bishop of Bardstown,,,,,1836,,,"﻿Reading, Writing, Arithmetic, English Grammar, Geography with the use of Maps and Globes, History, Ancient and Modern, with Chronology and Mythology, Rhetoric and Composition, Botany, Optics and the Elements of Mechanics, Hydrostatics and Astronomy, Chemistry and Natural Philosophy, the French Language, Needle work, plain and fancy, Marking, Lace and Bead work, Drawing and Painting in water colors, Crayon Drawing, Painting on Satin and Velvet, Music, Vocal and on the Piano Forte.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.6846318,-87.9179147,,,,﻿eli_durbin_901,﻿Rev.,﻿Elisha Durbin,,,,,,,,1836,,,"﻿The branches taught are as follows: Reading, Writing, Arithmetic, English Grammar, Geography, History; Plain and Fancy Needle-Work, Marking, Lace-Work, Bead-Work, &c.; Drawing and Painting in water colors; Music on the Piano Forte; also, Vocal Music.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.6846318,-87.9179147,,,,﻿ang_spine_901,﻿Miss,﻿Angela Spine,,﻿Sister Superiour,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022,﻿monastery,not recorded,English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.69995457,-85.87335513,,,,﻿#REF!,,,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022_02,﻿female school,not recorded,English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.69995457,-85.87335513,,,,,,,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,﻿KY,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,﻿https://oppeace.org/who-we-are/history/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158,﻿monastery,﻿Monastery of St. Magdalen,English,,﻿at St. Rose,,﻿Washington County,﻿Washington County,,﻿Saint Catharine,﻿KY,,37.71013369,-85.25986873,,,,﻿#REF!,,,,,,,,﻿under the direction of the Nuns of St. Dominick,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
